exe,tag,threads,schedule,chunk,md5_ok,time_ms
b_tc1_static_1024,B_tc1_t4_static_1024,4,baked,baked,1,38842
b_tc1_static_1024,B_tc1_t8_static_1024,8,baked,baked,1,53143
b_tc1_static_1024,B_tc1_t16_static_1024,16,baked,baked,1,89769
b_tc1_static_1024,B_tc1_t32_static_1024,32,baked,baked,1,171217
b_tc2_auto,B_tc2_t1_auto,1,baked,baked,1,19389
b_tc2_auto,B_tc2_t2_auto,2,baked,baked,1,23121
b_tc2_auto,B_tc2_t4_auto,4,baked,baked,1,58776
b_tc2_auto,B_tc2_t8_auto,8,baked,baked,1,84966
b_tc2_auto,B_tc2_t16_auto,16,baked,baked,1,140045
b_tc2_auto,B_tc2_t32_auto,32,baked,baked,1,246854
b_tc2_dynamic,B_tc2_t1_dynamic,1,baked,baked,1,19607
b_tc2_dynamic,B_tc2_t2_dynamic,2,baked,baked,1,23294
b_tc2_dynamic,B_tc2_t4_dynamic,4,baked,baked,1,59098
b_tc2_dynamic,B_tc2_t8_dynamic,8,baked,baked,1,84336
b_tc2_dynamic,B_tc2_t16_dynamic,16,baked,baked,1,135019
b_tc2_dynamic,B_tc2_t32_dynamic,32,baked,baked,1,226541
b_tc2_dynamic_64,B_tc2_t1_dynamic_64,1,baked,baked,1,17935
b_tc2_dynamic_64,B_tc2_t2_dynamic_64,2,baked,baked,1,21268
b_tc2_dynamic_64,B_tc2_t4_dynamic_64,4,baked,baked,1,54543
b_tc2_dynamic_64,B_tc2_t8_dynamic_64,8,baked,baked,1,78117
b_tc2_dynamic_64,B_tc2_t16_dynamic_64,16,baked,baked,1,127937
b_tc2_dynamic_64,B_tc2_t32_dynamic_64,32,baked,baked,1,221542
b_tc2_dynamic_256,B_tc2_t1_dynamic_256,1,baked,baked,1,17894
b_tc2_dynamic_256,B_tc2_t2_dynamic_256,2,baked,baked,1,21229
b_tc2_dynamic_256,B_tc2_t4_dynamic_256,4,baked,baked,1,54961
b_tc2_dynamic_256,B_tc2_t8_dynamic_256,8,baked,baked,1,78793
b_tc2_dynamic_256,B_tc2_t16_dynamic_256,16,baked,baked,1,139127
b_tc2_dynamic_256,B_tc2_t32_dynamic_256,32,baked,baked,1,235539
b_tc2_dynamic_1024,B_tc2_t1_dynamic_1024,1,baked,baked,1,17950
b_tc2_dynamic_1024,B_tc2_t2_dynamic_1024,2,baked,baked,1,21463
b_tc2_dynamic_1024,B_tc2_t4_dynamic_1024,4,baked,baked,1,54548
b_tc2_dynamic_1024,B_tc2_t8_dynamic_1024,8,baked,baked,1,78493
b_tc2_dynamic_1024,B_tc2_t16_dynamic_1024,16,baked,baked,1,127286
b_tc2_dynamic_1024,B_tc2_t32_dynamic_1024,32,baked,baked,1,220842
b_tc2_guided,B_tc2_t1_guided,1,baked,baked,1,17842
b_tc2_guided,B_tc2_t2_guided,2,baked,baked,1,21079
b_tc2_guided,B_tc2_t4_guided,4,baked,baked,1,54542
b_tc2_guided,B_tc2_t8_guided,8,baked,baked,1,78281
b_tc2_guided,B_tc2_t16_guided,16,baked,baked,1,127235
b_tc2_guided,B_tc2_t32_guided,32,baked,baked,1,220763
b_tc2_guided_64,B_tc2_t1_guided_64,1,baked,baked,1,18010
b_tc2_guided_64,B_tc2_t2_guided_64,2,baked,baked,1,21088
b_tc2_guided_64,B_tc2_t4_guided_64,4,baked,baked,1,54370
b_tc2_guided_64,B_tc2_t8_guided_64,8,baked,baked,1,77899
b_tc2_guided_64,B_tc2_t16_guided_64,16,baked,baked,1,127064
b_tc2_guided_64,B_tc2_t32_guided_64,32,baked,baked,1,231364
b_tc2_guided_256,B_tc2_t1_guided_256,1,baked,baked,1,18971
b_tc2_guided_256,B_tc2_t2_guided_256,2,baked,baked,1,22572
b_tc2_guided_256,B_tc2_t4_guided_256,4,baked,baked,1,56297
b_tc2_guided_256,B_tc2_t8_guided_256,8,baked,baked,1,84070
b_tc2_guided_256,B_tc2_t16_guided_256,16,baked,baked,1,138834
